block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
a_2151216,58-121,58 BRIDGE TERMINAL,2012_05M-1205BRsu-Sunday-02,580052,6518284-2012_05M-1205BRsu-Sunday-02,6518284
b_2152293,20-114,20 HERRING COVE,2012_08A-1208BRwd-Weekday-01,200081,6523367-2012_08A-1208BRwd-Weekday-01,6523367
b_2062220,FerD-114,FERRY TO HALIFAX,2012_08A-12AferWD-Weekday-01,FerD0002,6219124-2012_08A-12AferWD-Weekday-01,6219124
a_2150602,35-121,35 PARKLAND EXPRESS TO LA,2012_05M-1205BRwd-Weekday-02,350018,6514033-2012_05M-1205BRwd-Weekday-02,6514033
a_2151214,7-121,7 ROBIE,2012_05M-1205BRsu-Sunday-02,70028,6517953-2012_05M-1205BRsu-Sunday-02,6517953
b_2152513,58-114,58 WOODLAWN,2012_08A-1208BRwd-Weekday-01,580060,6521951-2012_08A-1208BRwd-Weekday-01,6521951
b_2152798,56-114,56 PORTLAND HILLS,2012_08A-1208BRsa-Saturday-01,560023,6527771-2012_08A-1208BRsa-Saturday-01,6527771
a_2151005,8-121,8 WATERFRONT TO PIER 21,2012_05M-1205BRsa-Saturday-02,80021,6517378-2012_05M-1205BRsa-Saturday-02,6517378
b_2152454,2-114,2 DOWNTOWN VIA NORTH,2012_08A-1208BRwd-Weekday-01,20040,6522483-2012_08A-1208BRwd-Weekday-01,6522483
a_2150750,58-121,58 BRIDGE TERMINAL,2012_05M-1205BRwd-Weekday-02,580052,6510776-2012_05M-1205BRwd-Weekday-02,6510776
b_2152379,56-114,56 PORTLAND HILLS,2012_08A-1208BRwd-Weekday-01,560023,6522918-2012_08A-1208BRwd-Weekday-01,6522918
b_2152805,21-114,21 LACEWOOD,2012_08A-1208BRsa-Saturday-01,210083,6527457-2012_08A-1208BRsa-Saturday-01,6527457
a_2150577,10-121,10 DALHOUSIE,2012_05M-1205BRwd-Weekday-02,100253,6512817-2012_05M-1205BRwd-Weekday-02,6512817
b_2152827,18-114,18 UNIVERSITIES,2012_08A-1208BRsa-Saturday-01,180069,6527302-2012_08A-1208BRsa-Saturday-01,6527302
a_2150731,17-121,17 LACEWOOD,2012_05M-1205BRwd-Weekday-02,170023,6511165-2012_05M-1205BRwd-Weekday-02,6511165
